h_score,gdp,familiy_size,life_expct,freedom,generosity,trust
6.5989999771,1.1852954626,1.4404511452,0.6951370835,0.4945192039,0.1094570607,0.0597398877
6.5780000687,1.1531838179,1.2108621597,0.7099789977,0.4127300084,0.1209904328,0.1327741146
6.5720000267,1.6922776699,1.3538143635,0.9494923949,0.5498405695,0.3459659815,0.464307785
6.5269999504,1.3432798386,1.488411665,0.8219442368,0.5887670517,0.5747305751,0.1530660689
6.4539999962,1.2175596952,1.412227869,0.7192168236,0.5793922544,0.1750969291,0.1780618727
6.4539999962,0.872001946,1.2555851936,0.5402399898,0.5313106179,0.2834883928,0.0772232786
6.4520001411,1.233748436,1.3731925488,0.7061561346,0.550026834,0.2105569392,0.070983924
6.4419999123,1.4309234619,1.3877768517,0.8444658518,0.4702221155,0.1297623068,0.1725024283
6.4239997864,1.1278687716,1.4257924557,0.6472390294,0.5802007318,0.5721231103,0.0316127352
6.4219999313,1.4336265326,1.3845653534,0.7939842343,0.3614665866,0.2583604753,0.0638292357
6.4029998779,1.3843978643,1.5320909023,0.8889605999,0.4087812304,0.1901335716,0.0709140971
6.375,1.870765686,1.2742968798,0.7100980878,0.6041309834,0.33047387,0.4392992556
6.3569998741,1.0706223249,1.4021829367,0.5950279236,0.4774874151,0.149014473,0.0466687419
6.3439998627,1.5306235552,1.286677599,0.5901483297,0.4497505724,0.1476160139,0.2734322548
6.1680002213,1.3613559008,1.3802285194,0.5199832916,0.518630743,0.3252964616,0.0089648161
6.1050000191,1.6329524517,1.2596987486,0.6321057081,0.4963375926,0.2282897979,0.2151595503
6.0980000496,1.3253935575,1.5050592422,0.7127329111,0.2958174646,0.1365444809,0.0242108516
6.0869998932,1.488412261,1.3231104612,0.6531330347,0.5367469192,0.1726684868,0.2570421696
6.0840001106,1.2912154198,1.2846460342,0.6187844276,0.4022649825,0.4166089296,0.0656007081
6.0710000992,0.7372992039,1.2872157097,0.6530959606,0.4475518465,0.301674217,0.1306879818
6.007999897,1.0008203983,1.2861688137,0.6856362224,0.4551981986,0.150112465,0.1401346475
6.0029997826,0.9097844958,1.1821250916,0.5960185528,0.4324525297,0.0782579854,0.0899809599
5.9730000496,1.2917878628,1.4457119703,0.699475348,0.5203421116,0.1584659666,0.0593078062
5.9710001945,0.7864410877,1.5489691496,0.4982726276,0.6582486629,0.4159836471,0.2465282232
5.9640002251,1.3950666189,1.4449232817,0.8531443477,0.2564507127,0.1727896482,0.0280280914
5.9629998207,1.2817780972,1.4692823887,0.5473493338,0.3737831116,0.0522638224,0.032962881
5.9559998512,0.907975316,1.081417799,0.450191766,0.5475093722,0.2400156409,0.0965810716
5.9200000763,1.4169151783,1.4363378286,0.9134758711,0.505625546,0.1205727682,0.1637607366
5.9019999504,1.3145823479,1.4735161066,0.6289499402,0.2342317849,0.0101646567,0.0118656429
5.8720002174,1.0918644667,1.1462174654,0.6175846457,0.2333358079,0.069436647,0.1460961103
5.8499999046,1.2607486248,1.404714942,0.6385669708,0.3257079124,0.1530747861,0.0738427266
5.8379998207,1.401678443,1.1282744408,0.900214076,0.2579216659,0.2066743672,0.0632826686
5.8379998207,0.7288706303,1.2518255711,0.5894652009,0.2407290488,0.2087791264,0.0100912862
5.8249998093,1.2176839113,1.1500912905,0.6851583123,0.4570037425,0.1335199177,0.0043879007
5.8229999542,0.833756566,1.2276190519,0.4736302495,0.5587329268,0.2255607247,0.0604777262
5.8220000267,1.130776763,1.4931491613,0.4377260804,0.418271929,0.2499249876,0.2592703402
5.8189997673,1.2845562696,1.3843690157,0.6060415506,0.4374542832,0.2019644231,0.1192828864
5.8099999428,1.3469113111,1.1863033772,0.8346472383,0.4712036252,0.2668457031,0.1553533524
5.757999897,1.3412059546,1.4525188208,0.790828228,0.5725758076,0.2426490933,0.0451289788
5.7150001526,1.0352252722,1.2187703848,0.6301661134,0.4500028789,0.1268197149,0.0470490865
5.6290001869,1.1893955469,1.2095609903,0.638007462,0.4912473261,0.3609337509,0.0421815552
5.6209998131,1.355938077,1.1313632727,0.8447147012,0.3551115394,0.2712543011,0.0412379764
5.611000061,1.3208793402,1.4766710997,0.6951683164,0.4791314304,0.0988908112,0.1832489222
5.5689997673,1.15655756,1.4449452162,0.6377142668,0.2954002619,0.1551375091,0.1563138217
5.5250000954,1.1018030643,1.3575643301,0.5201690197,0.4657332301,0.1520736665,0.0926102102
5.5,1.198274374,1.3377531767,0.6376056075,0.3007405996,0.0466930419,0.0996715799
5.4930000305,0.9325373173,1.5072848797,0.5792506933,0.4735077918,0.2241506577,0.0910659134
5.4720001221,1.5516748428,1.2627909184,0.9430624247,0.4909686446,0.3744657934,0.2939337492
5.4299998283,0.8576992154,1.2539175749,0.4680090547,0.5852146745,0.1935134232,0.099331893
5.3949999809,1.0693175793,1.2581897974,0.6507846713,0.2087155282,0.2201258838,0.0409037806
5.3359999657,0.9910123944,1.2390888929,0.6045900583,0.4184211493,0.1721704602,0.1198032722
